numberOfRooms,numberOfBedrooms,livingSpace,apartmentFloor,zipCode,price
4,2,"78,8",2,75006,1590000
2,1,"40,4",2,75012,449000
7,4,240,1,75016,3450000
4,2,"85,7",2,75012,685000
2,1,33,6,75007,440000
4,3,96,1,75016,1190000
2,1,25,5,75009,325000
4,2,94,1,75015,750000
2,1,29,2,75019,248000
3,1,58,9,75012,561000
5,3,91,17,75015,779000
5,3,100,6,75016,1099000
4,2,"81,4",3,75010,945000
4,2,71,5,75017,599990
3,2,"63,7",5,75006,1590000
2,1,"35,5",2,75006,575000
3,2,73,2,75013,642940
3,2,48,2,75013,440000
4,3,72,3,75005,800000
4,3,80,8,75019,590000
5,3,102,12,75020,749000
3,2,70,1,75020,639000
6,3,"154,5",2,75009,2575000
7,4,213,5,75016,2950000
6,3,277,2,75010,4950000
2,1,49,10,75020,398000
2,1,"36,1",4,75003,495000
5,4,"158,3",5,75018,3395000
5,3,117,3,75009,1390000
4,3,81,2,75017,1080000
5,3,81,2,75017,1080000
3,2,60,1,75015,684000
6,3,137,2,75015,1684000
5,3,134,5,75015,2000000
2,1,45,2,75015,450000
4,2,100,4,75015,1500000
2,1,29,6,75017,285000
3,2,69,5,75015,725000
5,3,169,4,75008,2290000
2,1,52,2,75015,504000
2,1,64,1,75012,499000
6,3,180,2,75006,6900000
5,3,"137,8",3,75009,1550000
3,1,54,4,75006,949000
3,2,"60,4",6,75010,725000
4,2,"65,6",7,75020,598500
4,3,80,3,75013,400000
2,1,52,2,75016,268000
3,2,54,1,75002,599000
3,2,64,3,75009,740000
4,2,172,8,75008,3100000
2,1,73,6,75016,901000
3,2,65,1,75007,1300000
3,2,53,2,75015,756000
4,3,94,1,75013,895000
3,2,67,5,75018,795000
5,3,103,4,75015,1080000
5,3,81,3,75011,861000
4,2,85,5,75016,700000
5,4,102,3,75018,1282000
2,1,59,4,75009,720000
4,3,"85,8",1,75012,755000
2,1,37,1,75011,389000
3,2,53,1,75015,491500
3,2,"57,2",5,75020,304000
3,2,66,3,75007,1035000
2,1,73,2,75018,878000
3,2,65,3,75006,1150000
2,1,47,1,75007,572000
3,2,"71,5",4,75012,745000
2,1,41,4,75003,399000
4,2,80,4,75016,810000
2,1,"55,4",4,75013,398000
3,2,63,3,75003,920000
2,1,54,9,75020,399000
3,2,71,9,75015,660000
2,1,47,2,75015,409000
3,1,60,5,75015,655000
3,2,52,3,75015,528000
2,1,39,7,75015,385000
3,2,75,2,75015,703000
3,2,71,9,75015,660000
4,3,112,3,75019,1155000
3,2,"52,4",2,75010,630000
5,4,134,4,75016,1699000
3,2,63,1,75014,598500
5,3,97,5,75020,999000
4,2,"63,2",3,75011,679000
2,1,36,5,75003,399640
2,1,56,2,75015,460000
6,4,218,1,75016,3500000
2,1,57,4,75018,685000
2,1,29,2,75019,279000
2,1,43,1,75015,395000
7,4,200,4,75014,2380000
2,1,55,6,75017,672000
5,4,105,9,75019,590000
2,1,39,2,75017,346000
3,2,51,5,75017,476000
5,4,148,5,75018,3195000
4,3,85,8,75013,974000
4,3,"81,1",4,75013,860000
5,3,114,8,75015,1133600
4,3,81,8,75013,934000
2,1,44,3,75003,600000
4,2,"127,5",4,75016,2090000
2,1,"19,7",8,75011,167000
3,2,58,3,75013,550000
4,2,71,4,75001,1990000
2,1,"54,7",4,75004,685000
5,3,100,5,75016,1100000
2,1,"38,1",2,75015,310000
3,1,"58,9",1,75007,892000
3,2,50,3,75011,618000
3,2,"82,5",5,75016,710000
2,1,53,1,75007,820000
3,2,"62,5",1,75007,1237600
6,3,232,4,75008,7369000
2,1,32,2,75018,371000
4,2,149,2,75003,1950000
4,3,"93,7",1,75016,945000
8,4,246,1,75116,2900000
4,2,"109,6",2,75006,3450000
3,2,56,4,75017,699500
4,2,85,2,75013,845000
4,2,98,4,75017,1240000
6,4,154,2,75004,3999000
3,2,58,4,75013,520000
3,1,39,3,75010,470000
3,2,67,3,75018,650000
3,1,67,3,75018,650000
2,1,40,5,75015,430000
3,1,"58,2",4,75013,514488
2,1,33,4,75008,460000
3,1,"76,3",2,75015,636500
2,1,"36,5",3,75011,435000
3,1,68,5,75016,495000
3,1,"57,6",2,75008,595000
3,2,63,2,75009,710000
4,2,"89,6",2,75017,960000
3,2,53,4,75009,480000
5,3,104,1,75017,609000
2,1,"39,5",2,75011,475000
5,3,131,1,75008,1495000
3,1,"57,2",3,75016,645000
2,1,56,6,75018,1700
4,2,"95,9",3,75016,1190000
5,3,"95,8",4,75006,1500000
5,3,141,5,75016,1999000
6,5,"251,6",1,75016,3500000
1,1,6,6,75018,56000
4,3,87,1,75019,563000
6,4,"149,3",7,75008,7875000
4,2,163,4,75016,2659000
3,2,54,1,75018,499000
6,3,106,7,75015,930000
2,1,34,3,75016,410000
5,3,92,4,75005,1350000
4,2,142,1,75002,1370000
2,1,35,1,75011,349000
2,1,41,1,75018,530000
2,1,"27,4",6,75017,295000
3,2,46,12,75015,395000
4,2,74,1,75015,749000
3,2,54,6,75015,527000
4,3,80,4,75015,740000
6,5,100,4,75014,899000
2,1,45,1,75011,570000
3,2,"68,7",4,75016,1228000
2,1,"50,2",2,75013,572000
2,1,"43,6",3,75017,446000
2,1,37,5,75008,525000
2,1,"44,1",4,75018,398000
4,2,141,1,75116,2390000
3,2,"57,2",7,75002,715000
3,2,59,5,75013,439000
5,3,114,4,75012,1147000
2,1,48,2,75011,400000
3,2,"79,3",5,75016,875000
2,1,31,1,75013,310000
2,1,51,3,75019,470000
2,1,46,1,75017,412000
5,3,97,2,75016,1990000
5,3,149,4,75008,1750000
2,1,"36,9",1,75015,332800
5,3,"146,9",1,75001,1975000
2,1,"51,1",6,75015,476000
2,1,36,1,75006,500000
5,4,100,12,75019,685000
3,1,"82,7",4,75004,1400000
3,1,108,2,75002,2365000
6,4,"191,3",2,75014,2220000
4,2,84,5,75015,999000
2,1,39,6,75003,520000
3,2,75,6,75017,795000
4,2,94,4,75011,999000
7,4,"207,5",6,75016,5500000
3,2,98,4,75017,1417500
3,1,"31,1",7,75001,410000
2,1,55,2,75016,990000
3,2,"55,2",1,75015,516000
2,1,"50,1",1,75005,577000
4,2,94,5,75008,1795000
4,3,99,4,75017,1250000
3,2,"65,8",2,75015,495000
2,1,"28,4",4,75013,281000
5,4,176,4,75011,2450000
2,1,36,4,75015,450000
3,2,71,3,75013,779000
4,3,"73,1",3,75020,655118.11
2,1,29,1,75006,549999
4,2,"110,8",3,75008,1250000
2,1,42,10,75015,430000
2,1,25,3,75013,267695
2,1,41,1,75014,354000
2,1,36,2,75015,410000
6,5,143,4,75010,1359750
2,1,32,6,75002,399000
3,1,54,1,75009,420000
2,1,38,5,75012,365000
1,2,43,4,75006,649000
3,1,76,1,75015,845000
3,2,69,4,75013,760000
3,2,"69,8",1,75015,630000
2,1,"56,5",2,75006,880000
5,3,180,3,75008,4995000
4,3,94,18,75013,749000
3,2,55,4,75018,595000
2,1,"56,2",2,75005,756000
2,1,39,2,75020,315000
5,3,107,8,75017,995000
2,1,57,2,75004,715000
2,1,20,4,75116,240000
5,3,"117,6",8,75014,1299000
3,2,68,6,75017,638000
9,6,290,2,75008,4499900
2,1,35,4,75004,525000
